County,Date,Status (as of 2024-06-04),Number of Transactions
Jefferson,11/20/2021,Approved,2
Jefferson,11/22/2021,Approved,2
Jefferson,11/23/2021,Approved,4
Jefferson,11/24/2021,Approved,4
Jefferson,11/26/2021,Approved,8
Jefferson,11/27/2021,Approved,1
Jefferson,11/28/2021,Approved,2
Jefferson,11/29/2021,Approved,3
Jefferson,11/30/2021,Approved,5
Jefferson,12/1/2021,Approved,7
Jefferson,12/2/2021,Approved,3
Jefferson,12/3/2021,Approved,6
Jefferson,12/4/2021,Approved,3
Jefferson,12/5/2021,Approved,3
Jefferson,12/6/2021,Approved,3
Jefferson,12/7/2021,Approved,2
Jefferson,12/7/2021,Pending,1
Jefferson,12/8/2021,Approved,3
Jefferson,12/9/2021,Approved,3
Jefferson,12/10/2021,Approved,3
Jefferson,12/11/2021,Approved,2
Jefferson,12/11/2021,Canceled,1
Jefferson,12/11/2021,Denied,2
Jefferson,12/12/2021,Approved,1
Jefferson,12/12/2021,Canceled,2
Jefferson,12/13/2021,Approved,2
Jefferson,12/14/2021,Approved,2
Jefferson,12/15/2021,Approved,4
Jefferson,12/16/2021,Approved,8
Jefferson,12/17/2021,Approved,7
Jefferson,12/18/2021,Approved,9
Jefferson,12/18/2021,Pending,1
Jefferson,12/19/2021,Approved,2
Jefferson,12/20/2021,Approved,3
Jefferson,12/21/2021,Approved,4
Jefferson,12/21/2021,Canceled,1
Jefferson,12/21/2021,Pending,1
Jefferson,12/22/2021,Approved,3
Jefferson,12/23/2021,Approved,6
Jefferson,12/24/2021,Approved,2
Jefferson,12/24/2021,Denied,1
Jefferson,12/25/2021,Approved,1
Jefferson,12/26/2021,Approved,1
Jefferson,12/27/2021,Approved,5
Jefferson,12/28/2021,Approved,5
Jefferson,12/28/2021,Denied,1
Jefferson,12/28/2021,Pending,1
Jefferson,12/29/2021,Approved,4
Jefferson,12/30/2021,Approved,1
Jefferson,12/31/2021,Approved,2
Jefferson,1/2/2022,Approved,1
Jefferson,1/3/2022,Approved,2
Jefferson,1/4/2022,Approved,2
Jefferson,1/5/2022,Approved,2
Jefferson,1/6/2022,Approved,3
Jefferson,1/7/2022,Approved,3
Jefferson,1/8/2022,Approved,4
Jefferson,1/8/2022,Denied,1
Jefferson,1/10/2022,Approved,1
Jefferson,1/11/2022,Approved,1
Jefferson,1/12/2022,Approved,2
Jefferson,1/13/2022,Approved,1
Jefferson,1/14/2022,Approved,5
Jefferson,1/15/2022,Approved,4
Jefferson,1/16/2022,Approved,1
Jefferson,1/17/2022,Approved,2
Jefferson,1/19/2022,Approved,3
Jefferson,1/20/2022,Approved,1
Jefferson,1/21/2022,Approved,4
Jefferson,1/22/2022,Approved,3
Jefferson,1/23/2022,Approved,2
Jefferson,1/24/2022,Approved,3
Jefferson,1/25/2022,Approved,1
Jefferson,1/26/2022,Approved,2
Jefferson,1/27/2022,Approved,4
Jefferson,1/28/2022,Approved,4
Jefferson,1/31/2022,Approved,2
Jefferson,2/1/2022,Approved,3
Jefferson,2/1/2022,Denied,1
Jefferson,2/2/2022,Approved,1
Jefferson,2/3/2022,Approved,7
Jefferson,2/4/2022,Approved,3
Jefferson,2/5/2022,Approved,3
Jefferson,2/5/2022,Pending,1
Jefferson,2/6/2022,Approved,3
Jefferson,2/7/2022,Approved,2
Jefferson,2/8/2022,Approved,3
Jefferson,2/9/2022,Approved,1
Jefferson,2/10/2022,Approved,3
Jefferson,2/11/2022,Approved,3
Jefferson,2/12/2022,Approved,2
Jefferson,2/12/2022,Pending,1
Jefferson,2/13/2022,Approved,1
Jefferson,2/15/2022,Approved,3
Jefferson,2/15/2022,Canceled,1
Jefferson,2/16/2022,Approved,3
Jefferson,2/17/2022,Approved,4
Jefferson,2/18/2022,Approved,1
Jefferson,2/19/2022,Approved,5
Jefferson,2/20/2022,Approved,5
Jefferson,2/20/2022,Canceled,1
Jefferson,2/21/2022,Approved,2
Jefferson,2/22/2022,Approved,3
Jefferson,2/23/2022,Approved,2
Jefferson,2/24/2022,Approved,3
Jefferson,2/25/2022,Approved,5
Jefferson,2/26/2022,Approved,1
Jefferson,2/28/2022,Approved,1
Jefferson,3/1/2022,Approved,5
Jefferson,3/2/2022,Approved,3
Jefferson,3/3/2022,Approved,2
Jefferson,3/3/2022,Canceled,1
Jefferson,3/4/2022,Approved,4
Jefferson,3/5/2022,Approved,25
Jefferson,3/6/2022,Approved,8
Jefferson,3/6/2022,Denied,1
Jefferson,3/7/2022,Approved,4
Jefferson,3/8/2022,Approved,3
Jefferson,3/9/2022,Approved,4
Jefferson,3/10/2022,Approved,5
Jefferson,3/11/2022,Approved,4
Jefferson,3/11/2022,Denied,1
Jefferson,3/12/2022,Approved,1
Jefferson,3/13/2022,Approved,5
Jefferson,3/14/2022,Approved,7
Jefferson,3/15/2022,Approved,9
Jefferson,3/15/2022,Canceled,1
Jefferson,3/16/2022,Approved,5
Jefferson,3/17/2022,Approved,2
Jefferson,3/18/2022,Approved,2
Jefferson,3/19/2022,Approved,3
Jefferson,3/20/2022,Approved,1
Jefferson,3/21/2022,Approved,1
Jefferson,3/22/2022,Approved,5
Jefferson,3/22/2022,Pending,1
Jefferson,3/23/2022,Approved,2
Jefferson,3/24/2022,Approved,2
Jefferson,3/24/2022,Canceled,1
Jefferson,3/25/2022,Approved,7
Jefferson,3/25/2022,Pending,1
Jefferson,3/26/2022,Approved,4
Jefferson,3/27/2022,Approved,2
Jefferson,3/28/2022,Approved,3
Jefferson,3/29/2022,Approved,3
Jefferson,3/30/2022,Approved,1
Jefferson,3/30/2022,Canceled,1
Jefferson,3/31/2022,Approved,5
Jefferson,4/1/2022,Approved,7
Jefferson,4/2/2022,Approved,2
Jefferson,4/3/2022,Approved,4
Jefferson,4/5/2022,Approved,1
Jefferson,4/6/2022,Approved,4
Jefferson,4/7/2022,Approved,2
Jefferson,4/7/2022,Pending,1
Jefferson,4/8/2022,Approved,6
Jefferson,4/9/2022,Approved,8
Jefferson,4/9/2022,Canceled,1
Jefferson,4/10/2022,Approved,3
Jefferson,4/10/2022,Denied,1
Jefferson,4/12/2022,Approved,3
Jefferson,4/13/2022,Approved,5
Jefferson,4/14/2022,Approved,2
Jefferson,4/15/2022,Approved,5
Jefferson,4/16/2022,Approved,4
Jefferson,4/18/2022,Approved,4
Jefferson,4/19/2022,Approved,3
Jefferson,4/20/2022,Approved,4
Jefferson,4/20/2022,Denied,1
Jefferson,4/21/2022,Approved,7
Jefferson,4/22/2022,Approved,3
Jefferson,4/23/2022,Approved,4
Jefferson,4/23/2022,Canceled,1
Jefferson,4/24/2022,Approved,2
Jefferson,4/24/2022,Pending,1
Jefferson,4/25/2022,Approved,3
Jefferson,4/26/2022,Approved,2
Jefferson,4/27/2022,Approved,2
Jefferson,4/28/2022,Approved,2
Jefferson,4/29/2022,Approved,3
Jefferson,4/30/2022,Approved,4
Jefferson,4/30/2022,Denied,1
Jefferson,5/1/2022,Approved,7
Jefferson,5/2/2022,Approved,1
Jefferson,5/3/2022,Canceled,1
Jefferson,5/4/2022,Approved,2
Jefferson,5/5/2022,Approved,1
Jefferson,5/6/2022,Approved,4
Jefferson,5/6/2022,Denied,1
Jefferson,5/8/2022,Approved,1
Jefferson,5/9/2022,Approved,2
Jefferson,5/9/2022,Pending,1
Jefferson,5/10/2022,Approved,6
Jefferson,5/11/2022,Approved,5
Jefferson,5/12/2022,Approved,5
Jefferson,5/13/2022,Approved,3
Jefferson,5/14/2022,Approved,2
Jefferson,5/15/2022,Approved,1
Jefferson,5/16/2022,Approved,2
Jefferson,5/17/2022,Approved,2
Jefferson,5/19/2022,Approved,3
Jefferson,5/20/2022,Approved,3
Jefferson,5/22/2022,Approved,1
Jefferson,5/23/2022,Approved,2
Jefferson,5/24/2022,Approved,1
Jefferson,5/24/2022,Pending,1
Jefferson,5/25/2022,Approved,3
Jefferson,5/26/2022,Approved,1
Jefferson,5/27/2022,Approved,2
Jefferson,5/28/2022,Approved,4
Jefferson,5/28/2022,Pending,1
Jefferson,5/29/2022,Approved,1
Jefferson,5/31/2022,Approved,7
Jefferson,6/1/2022,Approved,2
Jefferson,6/2/2022,Approved,2
Jefferson,6/2/2022,Denied,1
Jefferson,6/3/2022,Approved,4
Jefferson,6/4/2022,Approved,1
Jefferson,6/5/2022,Approved,1
Jefferson,6/6/2022,Approved,2
Jefferson,6/7/2022,Approved,1
Jefferson,6/8/2022,Approved,9
Jefferson,6/9/2022,Approved,2
Jefferson,6/10/2022,Approved,2
Jefferson,6/11/2022,Approved,2
Jefferson,6/11/2022,Canceled,1
Jefferson,6/12/2022,Approved,2
Jefferson,6/12/2022,Pending,1
Jefferson,6/13/2022,Approved,2
Jefferson,6/14/2022,Approved,5
Jefferson,6/15/2022,Approved,1
Jefferson,6/15/2022,Canceled,1
Jefferson,6/16/2022,Approved,2
Jefferson,6/17/2022,Approved,3
Jefferson,6/18/2022,Approved,3
Jefferson,6/20/2022,Approved,1
Jefferson,6/23/2022,Approved,3
Jefferson,6/24/2022,Approved,5
Jefferson,6/25/2022,Approved,2
Jefferson,6/26/2022,Approved,3
Jefferson,6/27/2022,Approved,3
Jefferson,6/28/2022,Approved,1
Jefferson,6/29/2022,Approved,1
Jefferson,6/30/2022,Approved,1
Jefferson,7/1/2022,Approved,4
Jefferson,7/2/2022,Approved,2
Jefferson,7/3/2022,Approved,1
Jefferson,7/5/2022,Approved,3
Jefferson,7/6/2022,Approved,1
Jefferson,7/7/2022,Approved,1
Jefferson,7/7/2022,Canceled,1
Jefferson,7/8/2022,Approved,2
Jefferson,7/8/2022,Pending,1
Jefferson,7/9/2022,Approved,1
Jefferson,7/10/2022,Approved,1
Jefferson,7/11/2022,Approved,2
Jefferson,7/11/2022,Canceled,2
Jefferson,7/12/2022,Approved,5
Jefferson,7/13/2022,Approved,2
Jefferson,7/14/2022,Approved,2
Jefferson,7/15/2022,Approved,2
Jefferson,7/15/2022,Canceled,1
Jefferson,7/16/2022,Approved,3
Jefferson,7/18/2022,Canceled,1
Jefferson,7/19/2022,Approved,2
Jefferson,7/20/2022,Approved,2
Jefferson,7/20/2022,Pending,1
Jefferson,7/21/2022,Approved,2
Jefferson,7/22/2022,Approved,1
Jefferson,7/23/2022,Approved,2
Jefferson,7/24/2022,Approved,2
Jefferson,7/24/2022,Canceled,1
Jefferson,7/25/2022,Approved,2
Jefferson,7/26/2022,Approved,3
Jefferson,7/27/2022,Approved,2
Jefferson,7/28/2022,Approved,3
Jefferson,7/29/2022,Approved,2
Jefferson,7/30/2022,Approved,6
Jefferson,7/31/2022,Approved,5
Jefferson,8/1/2022,Approved,1
Jefferson,8/1/2022,Canceled,1
Jefferson,8/2/2022,Approved,3
Jefferson,8/3/2022,Approved,5
Jefferson,8/3/2022,Canceled,1
Jefferson,8/3/2022,Pending,1
Jefferson,8/4/2022,Approved,4
Jefferson,8/4/2022,Canceled,1
Jefferson,8/5/2022,Approved,2
Jefferson,8/6/2022,Approved,3
Jefferson,8/7/2022,Approved,1
Jefferson,8/8/2022,Approved,2
Jefferson,8/9/2022,Approved,4
Jefferson,8/10/2022,Approved,2
Jefferson,8/11/2022,Approved,4
Jefferson,8/12/2022,Approved,6
Jefferson,8/13/2022,Approved,3
Jefferson,8/14/2022,Approved,1
Jefferson,8/15/2022,Approved,1
Jefferson,8/16/2022,Approved,7
Jefferson,8/17/2022,Approved,6
Jefferson,8/18/2022,Approved,1
Jefferson,8/19/2022,Approved,5
Jefferson,8/20/2022,Approved,3
Jefferson,8/20/2022,Pending,1
Jefferson,8/21/2022,Approved,1
Jefferson,8/22/2022,Approved,1
Jefferson,8/23/2022,Approved,8
Jefferson,8/24/2022,Approved,3
Jefferson,8/25/2022,Approved,4
Jefferson,8/26/2022,Approved,6
Jefferson,8/27/2022,Approved,4
Jefferson,8/28/2022,Approved,1
Jefferson,8/29/2022,Pending,1
Jefferson,8/30/2022,Approved,4
Jefferson,8/31/2022,Approved,6
Jefferson,9/1/2022,Approved,2
Jefferson,9/1/2022,Pending,1
Jefferson,9/2/2022,Approved,8
Jefferson,9/3/2022,Approved,2
Jefferson,9/4/2022,Approved,2
Jefferson,9/5/2022,Approved,2
Jefferson,9/6/2022,Approved,6
Jefferson,9/7/2022,Approved,4
Jefferson,9/8/2022,Approved,2
Jefferson,9/9/2022,Approved,5
Jefferson,9/10/2022,Approved,1
Jefferson,9/11/2022,Approved,3
Jefferson,9/12/2022,Approved,1
Jefferson,9/13/2022,Approved,1
Jefferson,9/14/2022,Approved,2
Jefferson,9/15/2022,Approved,2
Jefferson,9/16/2022,Approved,4
Jefferson,9/17/2022,Approved,7
Jefferson,9/18/2022,Approved,2
Jefferson,9/19/2022,Canceled,1
Jefferson,9/20/2022,Approved,2
Jefferson,9/20/2022,Canceled,2
Jefferson,9/21/2022,Approved,3
Jefferson,9/21/2022,Canceled,1
Jefferson,9/22/2022,Approved,2
Jefferson,9/23/2022,Approved,5
Jefferson,9/23/2022,Canceled,1
Jefferson,9/24/2022,Approved,2
Jefferson,9/25/2022,Pending,1
Jefferson,9/26/2022,Approved,2
Jefferson,9/27/2022,Approved,3
Jefferson,9/28/2022,Approved,2
Jefferson,9/29/2022,Approved,4
Jefferson,9/30/2022,Approved,4
Jefferson,10/1/2022,Approved,1
Jefferson,10/3/2022,Approved,4
Jefferson,10/4/2022,Approved,1
Jefferson,10/5/2022,Approved,4
Jefferson,10/6/2022,Approved,4
Jefferson,10/7/2022,Denied,1
Jefferson,10/8/2022,Approved,2
Jefferson,10/9/2022,Approved,3
Jefferson,10/11/2022,Approved,2
Jefferson,10/12/2022,Approved,3
Jefferson,10/14/2022,Approved,3
Jefferson,10/15/2022,Approved,2
Jefferson,10/17/2022,Approved,3
Jefferson,10/18/2022,Approved,2
Jefferson,10/21/2022,Approved,2
Jefferson,10/22/2022,Approved,3
Jefferson,10/23/2022,Pending,1
Jefferson,10/24/2022,Approved,3
Jefferson,10/25/2022,Approved,2
Jefferson,10/26/2022,Approved,3
Jefferson,10/27/2022,Approved,5
Jefferson,10/28/2022,Approved,2
Jefferson,10/29/2022,Approved,2
Jefferson,10/30/2022,Approved,3
Jefferson,10/31/2022,Approved,6
Jefferson,10/31/2022,Canceled,1
Jefferson,11/1/2022,Approved,2
Jefferson,11/2/2022,Approved,2
Jefferson,11/3/2022,Approved,4
Jefferson,11/4/2022,Approved,6
Jefferson,11/5/2022,Approved,1
Jefferson,11/6/2022,Approved,2
Jefferson,11/7/2022,Approved,4
Jefferson,11/8/2022,Approved,5
Jefferson,11/9/2022,Approved,6
Jefferson,11/9/2022,Canceled,2
Jefferson,11/10/2022,Approved,5
Jefferson,11/11/2022,Approved,2
Jefferson,11/12/2022,Approved,9
Jefferson,11/12/2022,Canceled,1
Jefferson,11/13/2022,Approved,10
Jefferson,11/14/2022,Approved,11
Jefferson,11/15/2022,Approved,6
Jefferson,11/16/2022,Approved,6
Jefferson,11/16/2022,Canceled,1
Jefferson,11/17/2022,Approved,6
Jefferson,11/18/2022,Approved,14
Jefferson,11/18/2022,Pending,1
Jefferson,11/19/2022,Approved,10
Jefferson,11/19/2022,Canceled,1
Jefferson,11/19/2022,Pending,1
Jefferson,11/20/2022,Approved,9
Jefferson,11/20/2022,Canceled,1
Jefferson,11/20/2022,Pending,1
Jefferson,11/21/2022,Approved,6
Jefferson,11/21/2022,Pending,1
Jefferson,11/22/2022,Approved,14
Jefferson,11/23/2022,Approved,17
Jefferson,11/25/2022,Approved,21
Jefferson,11/26/2022,Approved,7
Jefferson,11/26/2022,Canceled,1
Jefferson,11/27/2022,Approved,3
Jefferson,11/27/2022,Pending,1
Jefferson,11/28/2022,Approved,10
Jefferson,11/29/2022,Approved,22
Jefferson,11/30/2022,Approved,23
Jefferson,12/1/2022,Approved,20
Jefferson,12/2/2022,Approved,14
Jefferson,12/3/2022,Approved,21
Jefferson,12/4/2022,Approved,4
Jefferson,12/5/2022,Approved,7
Jefferson,12/5/2022,Canceled,1
Jefferson,12/6/2022,Approved,13
Jefferson,12/7/2022,Approved,12
Jefferson,12/7/2022,Canceled,1
Jefferson,12/8/2022,Approved,14
Jefferson,12/9/2022,Approved,6
Jefferson,12/10/2022,Approved,8
Jefferson,12/10/2022,Canceled,3
Jefferson,12/12/2022,Approved,3
Jefferson,12/13/2022,Approved,7
Jefferson,12/14/2022,Approved,3
Jefferson,12/15/2022,Approved,2
Jefferson,12/16/2022,Approved,4
Jefferson,12/16/2022,Canceled,1
Jefferson,12/17/2022,Approved,2
Jefferson,12/18/2022,Approved,3
Jefferson,12/19/2022,Approved,4
Jefferson,12/20/2022,Approved,6
Jefferson,12/20/2022,Denied,1
Jefferson,12/20/2022,Pending,2
Jefferson,12/21/2022,Approved,6
Jefferson,12/22/2022,Approved,3
Jefferson,12/22/2022,Canceled,1
Jefferson,12/23/2022,Approved,10
Jefferson,12/24/2022,Approved,3
Jefferson,12/27/2022,Approved,5
Jefferson,12/28/2022,Approved,5
Jefferson,12/29/2022,Approved,5
Jefferson,12/30/2022,Approved,7
Jefferson,12/31/2022,Approved,1
Jefferson,1/3/2023,Approved,4
Jefferson,1/4/2023,Approved,8
Jefferson,1/5/2023,Approved,5
Jefferson,1/6/2023,Approved,2
Jefferson,1/7/2023,Approved,3
Jefferson,1/9/2023,Approved,2
Jefferson,1/10/2023,Approved,5
Jefferson,1/11/2023,Approved,4
Jefferson,1/12/2023,Approved,2
Jefferson,1/13/2023,Approved,6
Jefferson,1/13/2023,Pending,1
Jefferson,1/14/2023,Approved,3
Jefferson,1/15/2023,Approved,2
Jefferson,1/16/2023,Approved,4
Jefferson,1/17/2023,Approved,9
Jefferson,1/18/2023,Approved,7
Jefferson,1/19/2023,Approved,3
Jefferson,1/20/2023,Approved,4
Jefferson,1/21/2023,Approved,8
Jefferson,1/21/2023,Canceled,1
Jefferson,1/23/2023,Approved,2
Jefferson,1/24/2023,Approved,3
Jefferson,1/25/2023,Approved,2
Jefferson,1/26/2023,Approved,2
Jefferson,1/27/2023,Approved,8
Jefferson,1/28/2023,Approved,5
Jefferson,1/29/2023,Approved,1
Jefferson,1/30/2023,Approved,2
Jefferson,1/31/2023,Approved,7
Jefferson,2/1/2023,Approved,4
Jefferson,2/2/2023,Approved,2
Jefferson,2/3/2023,Approved,4
Jefferson,2/4/2023,Approved,3
Jefferson,2/5/2023,Approved,1
Jefferson,2/6/2023,Approved,2
Jefferson,2/7/2023,Approved,2
Jefferson,2/8/2023,Approved,4
Jefferson,2/9/2023,Approved,3
Jefferson,2/10/2023,Approved,3
Jefferson,2/10/2023,Canceled,1
Jefferson,2/11/2023,Approved,2
Jefferson,2/11/2023,Pending,1
Jefferson,2/12/2023,Approved,2
Jefferson,2/13/2023,Approved,3
Jefferson,2/14/2023,Approved,4
Jefferson,2/15/2023,Approved,4
Jefferson,2/16/2023,Approved,1
Jefferson,2/18/2023,Approved,4
Jefferson,2/19/2023,Approved,3
Jefferson,2/20/2023,Approved,8
Jefferson,2/21/2023,Approved,3
Jefferson,2/22/2023,Approved,4
Jefferson,2/22/2023,Denied,1
Jefferson,2/23/2023,Approved,4
Jefferson,2/24/2023,Approved,6
Jefferson,2/25/2023,Approved,2
Jefferson,2/25/2023,Canceled,1
Jefferson,2/26/2023,Approved,2
Jefferson,2/27/2023,Approved,8
Jefferson,2/28/2023,Approved,8
Jefferson,3/1/2023,Approved,5
Jefferson,3/1/2023,Canceled,1
Jefferson,3/2/2023,Approved,4
Jefferson,3/3/2023,Approved,11
Jefferson,3/4/2023,Approved,8
Jefferson,3/5/2023,Approved,1
Jefferson,3/6/2023,Approved,8
Jefferson,3/6/2023,Canceled,1
Jefferson,3/6/2023,Pending,1
Jefferson,3/7/2023,Approved,3
Jefferson,3/8/2023,Approved,4
Jefferson,3/9/2023,Approved,2
Jefferson,3/10/2023,Approved,1
Jefferson,3/11/2023,Approved,6
Jefferson,3/12/2023,Approved,1
Jefferson,3/13/2023,Approved,4
Jefferson,3/14/2023,Approved,9
Jefferson,3/14/2023,Denied,2
Jefferson,3/15/2023,Approved,6
Jefferson,3/15/2023,Denied,1
Jefferson,3/16/2023,Pending,1
Jefferson,3/17/2023,Approved,6
Jefferson,3/18/2023,Approved,2
Jefferson,3/19/2023,Approved,2
Jefferson,3/19/2023,Pending,1
Jefferson,3/20/2023,Approved,3
Jefferson,3/21/2023,Approved,4
Jefferson,3/22/2023,Approved,8
Jefferson,3/23/2023,Approved,1
Jefferson,3/24/2023,Approved,5
Jefferson,3/25/2023,Approved,9
Jefferson,3/26/2023,Approved,2
Jefferson,3/27/2023,Approved,4
Jefferson,3/28/2023,Approved,2
Jefferson,3/28/2023,Canceled,1
Jefferson,3/29/2023,Approved,6
Jefferson,3/30/2023,Approved,4
Jefferson,3/31/2023,Approved,2
Jefferson,4/1/2023,Approved,3
Jefferson,4/1/2023,Canceled,1
Jefferson,4/1/2023,Denied,1
Jefferson,4/2/2023,Approved,2
Jefferson,4/3/2023,Approved,1
Jefferson,4/4/2023,Approved,6
Jefferson,4/5/2023,Approved,3
Jefferson,4/6/2023,Approved,6
Jefferson,4/7/2023,Approved,6
Jefferson,4/8/2023,Approved,1
Jefferson,4/10/2023,Approved,7
Jefferson,4/10/2023,Canceled,1
Jefferson,4/11/2023,Approved,2
Jefferson,4/12/2023,Approved,5
Jefferson,4/13/2023,Approved,2
Jefferson,4/13/2023,Canceled,1
Jefferson,4/14/2023,Approved,3
Jefferson,4/15/2023,Approved,12
Jefferson,4/15/2023,Canceled,1
Jefferson,4/16/2023,Approved,1
Jefferson,4/16/2023,Pending,1
Jefferson,4/17/2023,Approved,2
Jefferson,4/18/2023,Approved,5
Jefferson,4/19/2023,Approved,8
Jefferson,4/20/2023,Approved,4
Jefferson,4/21/2023,Approved,5
Jefferson,4/22/2023,Approved,5
Jefferson,4/23/2023,Approved,1
Jefferson,4/24/2023,Approved,4
Jefferson,4/25/2023,Approved,3
Jefferson,4/26/2023,Approved,3
Jefferson,4/27/2023,Approved,2
Jefferson,4/28/2023,Approved,3
Jefferson,4/29/2023,Approved,2
Jefferson,4/30/2023,Approved,2
Jefferson,5/1/2023,Approved,1
Jefferson,5/2/2023,Approved,7
Jefferson,5/3/2023,Approved,6
Jefferson,5/3/2023,Pending,1
Jefferson,5/4/2023,Approved,2
Jefferson,5/5/2023,Approved,2
Jefferson,5/6/2023,Approved,1
Jefferson,5/7/2023,Approved,2
Jefferson,5/8/2023,Approved,3
Jefferson,5/9/2023,Approved,5
Jefferson,5/9/2023,Canceled,2
Jefferson,5/10/2023,Approved,2
Jefferson,5/11/2023,Approved,1
Jefferson,5/12/2023,Approved,1
Jefferson,5/12/2023,Canceled,1
Jefferson,5/15/2023,Approved,1
Jefferson,5/16/2023,Approved,3
Jefferson,5/16/2023,Canceled,1
Jefferson,5/17/2023,Approved,2
Jefferson,5/18/2023,Approved,2
Jefferson,5/19/2023,Approved,2
Jefferson,5/20/2023,Approved,4
Jefferson,5/21/2023,Approved,1
Jefferson,5/22/2023,Approved,2
Jefferson,5/23/2023,Approved,1
Jefferson,5/23/2023,Denied,1
Jefferson,5/24/2023,Approved,5
Jefferson,5/25/2023,Approved,1
Jefferson,5/25/2023,Pending,1
Jefferson,5/26/2023,Approved,5
Jefferson,5/26/2023,Canceled,1
Jefferson,5/28/2023,Approved,2
Jefferson,5/29/2023,Approved,6
Jefferson,5/30/2023,Approved,3
Jefferson,5/30/2023,Pending,1
Jefferson,5/31/2023,Approved,5
Jefferson,6/1/2023,Approved,4
Jefferson,6/2/2023,Approved,5
Jefferson,6/2/2023,Canceled,1
Jefferson,6/3/2023,Approved,4
Jefferson,6/3/2023,Denied,1
Jefferson,6/4/2023,Approved,3
Jefferson,6/5/2023,Approved,1
Jefferson,6/6/2023,Approved,3
Jefferson,6/8/2023,Approved,2
Jefferson,6/9/2023,Approved,5
Jefferson,6/10/2023,Approved,3
Jefferson,6/11/2023,Approved,2
Jefferson,6/12/2023,Approved,2
Jefferson,6/13/2023,Approved,2
Jefferson,6/14/2023,Approved,3
Jefferson,6/16/2023,Approved,4
Jefferson,6/17/2023,Approved,2
Jefferson,6/18/2023,Approved,2
Jefferson,6/19/2023,Approved,1
Jefferson,6/20/2023,Approved,3
Jefferson,6/21/2023,Approved,3
Jefferson,6/22/2023,Approved,5
Jefferson,6/23/2023,Approved,3
Jefferson,6/24/2023,Approved,2
Jefferson,6/25/2023,Approved,1
Jefferson,6/26/2023,Approved,8
Jefferson,6/27/2023,Approved,1
Jefferson,6/27/2023,Pending,1
Jefferson,6/28/2023,Approved,2
Jefferson,6/29/2023,Approved,4
Jefferson,6/30/2023,Approved,1
Jefferson,7/1/2023,Approved,2
Jefferson,7/2/2023,Approved,1
Jefferson,7/4/2023,Approved,1
Jefferson,7/5/2023,Approved,4
Jefferson,7/7/2023,Approved,4
Jefferson,7/7/2023,Pending,1
Jefferson,7/8/2023,Approved,1
Jefferson,7/8/2023,Canceled,1
Jefferson,7/10/2023,Approved,1
Jefferson,7/11/2023,Approved,2
Jefferson,7/12/2023,Approved,1
Jefferson,7/12/2023,Denied,1
Jefferson,7/13/2023,Approved,5
Jefferson,7/14/2023,Approved,3
Jefferson,7/15/2023,Approved,3
Jefferson,7/16/2023,Approved,1
Jefferson,7/17/2023,Approved,3
Jefferson,7/18/2023,Approved,7
Jefferson,7/18/2023,Canceled,1
Jefferson,7/18/2023,Denied,1
Jefferson,7/19/2023,Approved,2
Jefferson,7/19/2023,Pending,1
Jefferson,7/20/2023,Approved,1
Jefferson,7/21/2023,Approved,5
Jefferson,7/21/2023,Canceled,1
Jefferson,7/22/2023,Approved,2
Jefferson,7/23/2023,Approved,1
Jefferson,7/23/2023,Pending,1
Jefferson,7/24/2023,Approved,3
Jefferson,7/25/2023,Approved,4
Jefferson,7/26/2023,Approved,3
Jefferson,7/27/2023,Approved,5
Jefferson,7/28/2023,Approved,4
Jefferson,7/29/2023,Approved,2
Jefferson,7/30/2023,Approved,1
Jefferson,7/31/2023,Approved,1
Jefferson,8/1/2023,Approved,6
Jefferson,8/2/2023,Approved,4
Jefferson,8/3/2023,Approved,1
Jefferson,8/4/2023,Approved,2
Jefferson,8/4/2023,Canceled,1
Jefferson,8/4/2023,Pending,1
Jefferson,8/5/2023,Approved,1
Jefferson,8/7/2023,Approved,1
Jefferson,8/8/2023,Approved,4
Jefferson,8/9/2023,Approved,4
Jefferson,8/10/2023,Approved,2
Jefferson,8/10/2023,Canceled,1
Jefferson,8/11/2023,Approved,5
Jefferson,8/12/2023,Approved,1
Jefferson,8/13/2023,Approved,2
Jefferson,8/14/2023,Approved,1
Jefferson,8/15/2023,Approved,2
Jefferson,8/16/2023,Approved,4
Jefferson,8/17/2023,Approved,1
Jefferson,8/18/2023,Approved,5
Jefferson,8/18/2023,Canceled,1
Jefferson,8/19/2023,Approved,2
Jefferson,8/19/2023,Pending,1
Jefferson,8/21/2023,Approved,4
Jefferson,8/22/2023,Approved,4
Jefferson,8/23/2023,Approved,4
Jefferson,8/24/2023,Approved,3
Jefferson,8/25/2023,Approved,6
Jefferson,8/26/2023,Approved,4
Jefferson,8/27/2023,Approved,3
Jefferson,8/29/2023,Approved,3
Jefferson,8/30/2023,Approved,2
Jefferson,8/31/2023,Approved,2
Jefferson,9/1/2023,Approved,8
Jefferson,9/2/2023,Approved,2
Jefferson,9/3/2023,Approved,2
Jefferson,9/4/2023,Approved,1
Jefferson,9/5/2023,Approved,2
Jefferson,9/6/2023,Approved,5
Jefferson,9/7/2023,Approved,4
Jefferson,9/7/2023,Canceled,1
Jefferson,9/8/2023,Approved,3
Jefferson,9/9/2023,Approved,3
Jefferson,9/9/2023,Canceled,1
Jefferson,9/10/2023,Approved,2
Jefferson,9/11/2023,Approved,1
Jefferson,9/12/2023,Approved,2
